p,best_m,best_residual,best_P,min_den,cheb_tail_ratio,passes_1e8
44,13,7.7083718711162907e-06,-0.55174796263807335,0.00084043573234887669,7.8127555512963073e-18,0
45,13,2.753981528917544e-05,-0.55178795864444441,0.00086164008973675275,7.5759771671886835e-18,0
46,13,3.6473226591231944e-05,-0.55179809405060909,0.00081346733199949626,7.8382365876247632e-19,0
47,10,2.2441167926556071e-05,-0.55173124294122045,0.0021087634925057068,1.619416989794133e-19,0
48,17,6.0806895113686514e-07,-0.55175601999144219,0.00039975055446536434,4.9324821722860317e-19,0
49,13,5.6534449786794418e-06,-0.55176312521816806,0.0010003346573729814,1.6405837258692941e-19,0
50,17,3.050415814894856e-06,-0.5517601714732705,0.0011602263244460875,2.0957802431630058e-18,0
51,14,7.2253536598227689e-06,-0.55176490889416963,0.0046128908846943678,1.3566957296362694e-19,0
52,8,4.2676767181475195e-06,-0.55176155274581995,0.0080708312893525477,2.6678631810198867e-19,0
53,17,1.9901222699102775e-06,-0.55175896830959115,0.0010513910407711979,1.9643530205823603e-19,0
54,10,5.1914907936020991e-06,-0.55175081880799515,0.0023004498511634002,1.2044297199651552e-19,0
55,18,4.6364394339431216e-06,-0.55176197119305381,0.0027487228684825674,1.9667977659982083e-19,0
56,20,1.2201715334831226e-06,-0.55175532539665872,0.002110542054526046,4.0834625882304751e-19,0
57,14,1.1618432279952305e-06,-0.55175802841821897,0.002441889729479345,6.2284551228950111e-19,0
58,14,6.3048128435962744e-07,-0.55175742545175044,0.0025170578990892441,7.5836770176245555e-19,0
59,15,1.1263983662326786e-06,-0.55175798819698674,0.029141857746411488,3.1605363861425785e-19,0
60,11,2.655226769539955e-07,-0.55175640870111087,0.0035181295397598905,1.4596865967437559e-19,0
61,14,2.1084085551175087e-07,-0.55175647075207923,0.0028584280283615875,1.3042333648446223e-19,0
62,19,1.3212883856843635e-07,-0.55175685994132684,0.004537278579126113,1.8242511807556052e-19,0
63,18,4.771905926380996e-07,-0.55175725150377963,0.0025379707894228162,2.1651319187113223e-19,0
64,23,9.7146866495750211e-07,-0.55175781238964361,0.0033463885061621097,3.0221200484423264e-19,0
65,11,3.0357396863775499e-07,-0.55175636552185903,0.0032367944081183333,2.3741841739086003e-19,0
66,25,6.8406844683660601e-07,-0.55175593374973675,0.0044350597062731336,2.4013501189937668e-19,0
67,26,5.6463297433217968e-07,-0.55175606928112997,0.0044888647628614558,2.3441475534918939e-19,0
68,25,1.4637258947625759e-07,-0.55175687610458857,0.00640435694979104,3.7002199794861301e-19,0
69,20,7.5050730826331225e-07,-0.55175756165223588,0.0058151476875113123,3.1121141456934333e-19,0
70,20,2.2453297613322154e-07,-0.55175645521475403,0.0044173505224227088,2.8956978346713277e-19,0
71,21,5.4856442175139227e-07,-0.5517573324958841,0.013225409124861644,1.5523713113620225e-19,0
72,25,1.8391171998049252e-07,-0.55175691870254617,0.006298152708274626,4.2875386862408991e-19,0
73,25,1.4196841082282641e-07,-0.55175687110689586,0.006593015139109243,2.4532764329149485e-19,0
74,27,4.3543570418903206e-09,-0.55175671494769052,0.0058590051983605255,2.5666745861832283e-19,1
